@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 34\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 77\n','Number of leaves: 39\nSize of the tree: 72\n','Number of leaves: 32\nSize of the tree: 59\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 62\n','Number of leaves: 51\nSize of the tree: 90\n','Number of leaves: 39\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 43\nSize of the tree: 79\n','Number of leaves: 40\nSize of the tree: 72\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 48\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 85\n','Number of leaves: 49\nSize of the tree: 89\n','Number of leaves: 47\nSize of the tree: 85\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 48\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 46\nSize of the tree: 84\n','Number of leaves: 53\nSize of the tree: 93\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 37\nSize of the tree: 64\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

primary-tumor,1,10,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,306,33,12,21,0,36.363636,63.636364,0,0.244275,0.067975,0.189108,83.981722,94.442468,119.367203,1162.567706,-1043.200503,3.617188,35.229324,-31.612136,36.622766,1.109781,30.680761,0.666667,6,0.375,9,0.625,15,0.333333,3,0.4,0.666667,0.5,0.260875,0.715278,0.557077,0.363636,0.126069,0.873931,0.636364,?,0.363636,?,?,0.773737,0.442598,?,0.363636,0.069,0,0.0625,0,62.5,0,58698,56974,9745,93.939394,38.705234,'Number of leaves: 51\nSize of the tree: 90\n',90,51,51
primary-tumor,1,1,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.348133,0.068599,0.186108,84.665316,92.838581,123.359811,94.726737,28.633074,3.62823,2.78608,0.842149,36.058497,1.060544,29.230344,0.888889,8,0.16,4,0.84,21,0.111111,1,0.666667,0.888889,0.761905,0.6729,0.888889,0.715807,0.441176,0.080135,0.919865,0.558824,?,0.441176,?,?,0.79545,0.453524,?,0.441176,0.161,0.001,0.125,0,125,0,47814,56801,9918,94.117647,43.449198,'Number of leaves: 39\nSize of the tree: 72\n',72,39,39
primary-tumor,1,2,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.34879,0.06475,0.179122,79.988309,89.444344,121.456066,87.805837,33.650229,3.572237,2.582525,0.989713,41.592866,1.22332,34.245194,0.777778,7,0.24,6,0.76,19,0.222222,2,0.538462,0.777778,0.636364,0.488217,0.826667,0.507407,0.441176,0.089693,0.910307,0.558824,?,0.441176,?,?,0.821727,0.476113,?,0.441176,0.166,0.001,0.140625,0,140.625,0,46272,56801,9918,91.176471,41.44385,'Number of leaves: 39\nSize of the tree: 69\n',69,39,39
primary-tumor,1,3,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.365803,0.062723,0.177968,77.492255,88.878082,121.233674,84.103825,37.129849,3.565696,2.473642,1.092054,47.371046,1.393266,39.074165,0.888889,8,0.32,8,0.68,17,0.111111,1,0.5,0.888889,0.64,0.502831,0.871111,0.660186,0.470588,0.109137,0.890863,0.529412,?,0.470588,?,?,0.860612,0.448787,?,0.470588,0.18,0,0.15625,0,156.25,0,53120,56801,9918,91.176471,37.834225,'Number of leaves: 44\nSize of the tree: 81\n',81,44,44
primary-tumor,1,4,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.384925,0.062568,0.177278,76.926714,88.053512,122.999558,1165.75206,-1042.752501,3.617634,34.286825,-30.669191,42.091079,1.237973,34.220512,0.875,7,0.269231,7,0.730769,19,0.125,1,0.5,0.875,0.636364,0.522107,0.903846,0.759768,0.470588,0.08685,0.91315,0.529412,?,0.470588,?,?,0.766218,0.489453,?,0.470588,0.163,0.001,0.140625,0,140.625,0,54420,56801,9918,82.352941,38.368984,'Number of leaves: 46\nSize of the tree: 83\n',83,46,46
primary-tumor,1,5,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,13,21,0,38.235294,61.764706,0,0.290258,0.069079,0.190469,84.659665,94.26678,129.184627,1181.903886,-1052.71926,3.799548,34.761879,-30.962331,34.188256,1.005537,26.464647,0.625,5,0.269231,7,0.730769,19,0.375,3,0.416667,0.625,0.5,0.31579,0.848558,0.579789,0.382353,0.096336,0.903664,0.617647,?,0.382353,?,?,0.76824,0.382885,?,0.382353,0.14,0,0.125,0,125,0,50792,56801,9918,82.352941,39.438503,'Number of leaves: 42\nSize of the tree: 77\n',77,42,42
primary-tumor,1,6,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.349446,0.067192,0.186136,82.347938,92.122248,129.184627,104.536182,24.648445,3.799548,3.074594,0.724954,37.915591,1.115164,29.349925,0.75,6,0.346154,9,0.653846,17,0.25,2,0.4,0.75,0.521739,0.345005,0.817308,0.601284,0.441176,0.102097,0.897903,0.558824,?,0.441176,?,?,0.797973,0.453682,?,0.441176,0.126,0,0.109375,0,109.375,0,53256,56801,9918,88.235294,38.770053,'Number of leaves: 45\nSize of the tree: 81\n',81,45,45
primary-tumor,1,7,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.356574,0.069451,0.192181,85.252303,95.284835,127.398302,1173.253226,-1045.854924,3.747009,34.507448,-30.760439,33.684572,0.990723,26.440362,0.5,4,0.307692,8,0.692308,18,0.5,4,0.333333,0.5,0.4,0.170697,0.526442,0.356814,0.441176,0.098857,0.901143,0.558824,?,0.441176,?,?,0.710485,0.385924,?,0.441176,0.143,0.001,0.140625,0,140.625,0,52742,56801,9918,88.235294,37.032086,'Number of leaves: 45\nSize of the tree: 80\n',80,45,45
primary-tumor,1,8,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,17,17,0,50,50,0,0.416162,0.066146,0.181211,81.219768,89.876021,126.813339,1166.383405,-1039.570065,3.729804,34.305394,-30.57559,40.347756,1.186699,31.81665,0.875,7,0.346154,9,0.653846,17,0.125,1,0.4375,0.875,0.583333,0.449433,0.836538,0.768452,0.5,0.095329,0.904671,0.5,?,0.5,?,?,0.779796,0.513346,?,0.5,0.165,0,0.109375,0,109.375,0,53392,56801,9918,88.235294,40.508021,'Number of leaves: 46\nSize of the tree: 81\n',81,46,46
primary-tumor,1,9,weka.classifiers.trees.MIT,'-C 0.25 -M 64 -I 32 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.356574,0.066764,0.183036,81.978687,90.781137,126.813339,1167.579775,-1040.766435,3.729804,34.340582,-30.610778,37.851443,1.113278,29.848156,0.75,6,0.230769,6,0.769231,20,0.25,2,0.5,0.75,0.6,0.460882,0.774038,0.587381,0.441176,0.085374,0.914626,0.558824,?,0.441176,?,?,0.776466,0.492521,?,0.441176,0.161,0,0.140625,0,140.625,0,53906,56801,9918,88.235294,38.636364,'Number of leaves: 46\nSize of the tree: 82\n',82,46,46
